ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-14T10:44:18.609Z,test_29-pool2.6-magcal2,true,0.00,15.83,false,false,false,false,false,none,1000,1000,1500,1609,1000,2.2,164.7,1720,false,off,1500,false,true,121.3,130.1,205408,38.846329,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.30,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1537,12,4204574309,0.2,495,,,,,false,,
2026-06-14T10:44:19.531Z,test_29-pool2.6-magcal2,true,-0.00,15.82,false,false,false,false,false,none,1000,1000,1500,1609,1000,2.2,164.7,1720,false,off,1500,false,true,120.6,129.4,205396,38.846329,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,23.88,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,4,true,1537,12,4204574309,0.1,496,,,,,false,,
2026-06-14T10:44:20.480Z,test_29-pool2.6-magcal2,true,-0.00,15.83,false,false,false,false,false,none,1000,1000,1500,1609,1000,2.2,164.7,1720,false,off,1500,false,true,119.3,128.1,203248,38.846329,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,23.27,MANUAL,true,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1537,12,4204574309,0.2,497,,,,,false,,
2026-06-14T10:44:21.447Z,test_29-pool2.6-magcal2,true,0.00,15.84,false,false,false,false,false,none,1000,1000,1500,1609,1000,2.2,164.7,1720,false,off,1500,false,true,118.1,126.9,205408,38.846329,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,23.81,MANUAL,true,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1537,12,4204574309,0.1,498,,,,,false,,
2026-06-14T10:44:22.481Z,test_29-pool2.6-magcal2,true,0.00,15.84,false,false,false,false,false,none,1000,1000,1500,1609,1000,2.2,164.7,1720,false,off,1500,false,true,117.6,126.4,205412,38.846329,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,23.26,MANUAL,true,8.00,3.00,false,false,off,false,3,false,200,25,8,true,1537,12,4204574309,0.1,499,,,,,false,,
2026-06-14T10:44:23.531Z,test_29-pool2.6-magcal2,true,0.00,15.83,false,false,false,false,false,none,1000,1000,1500,1609,1000,2.2,164.7,1720,false,off,1500,false,true,116.9,125.7,205404,38.846329,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,23.17,MANUAL,true,8.00,3.00,false,false,off,false,3,false,200,25,4,true,1537,12,4204574309,0.1,500,,,,,false,,
2026-06-14T10:44:24.510Z,test_29-pool2.6-magcal2,true,0.00,15.84,false,false,false,false,false,none,1000,1000,1500,1609,1000,2.2,164.7,1720,false,off,1500,false,true,116.0,124.8,205396,38.846329,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.05,MANUAL,true,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1537,12,4204574309,0.1,501,,,,,false,,
2026-06-14T10:44:25.648Z,test_29-pool2.6-magcal2,true,0.00,15.83,false,false,false,false,false,none,1000,1000,1500,1609,1000,2.2,164.7,1720,false,off,1500,false,true,115.7,124.5,205392,38.846329,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,23.17,MANUAL,true,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1537,12,4204574309,0.1,502,,,,,false,,
2026-06-14T10:44:26.465Z,test_29-pool2.6-magcal2,true,0.00,15.84,false,false,false,false,false,none,1000,1000,1500,1609,1000,2.2,164.7,1720,false,off,1500,false,true,115.0,123.9,205408,38.846329,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.98,MANUAL,true,8.00,3.00,false,false,off,false,3,false,200,25,8,true,1537,12,4204574309,0.0,503,,,,,false,,
2026-06-14T10:44:27.515Z,test_29-pool2.6-magcal2,true,0.00,15.83,false,false,false,false,false,none,1000,1000,1500,1609,1000,2.2,164.7,1720,false,off,1500,false,true,113.8,122.6,205424,38.846329,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,23.09,MANUAL,true,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1537,12,4204574309,0.1,504,,,,,false,,
