ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_age_ms,depth_m,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-27T12:32:13.019Z,0.5.1,false,0.00,15.39,false,false,false,false,false,none,1000,1531,1000,1500,1609,1000,0.0,196.5,1660,false,,,off,1500,false,true,1469,138.1,149.1,154300,38.846512,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.80,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1537,10,1856487826,0.2,120,,,,,false,,
2026-06-27T12:32:14.014Z,0.5.1,false,0.00,15.38,false,false,false,false,false,none,1000,1531,1000,1500,1609,1000,0.0,196.5,1660,false,,,off,1500,false,true,1469,138.4,149.4,154308,38.846512,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.88,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1537,10,1856487826,0.2,121,,,,,false,,
2026-06-27T12:32:14.965Z,0.5.1,false,0.00,15.39,false,false,false,false,false,none,1000,1531,1000,1500,1609,1000,0.0,196.5,1660,false,,,off,1500,false,true,1469,138.5,149.5,154304,38.846516,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.15,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,9,true,1537,10,1856487826,0.2,122,,,,,false,,
2026-06-27T12:32:16.015Z,0.5.1,false,0.00,15.39,false,false,false,false,false,none,1000,1531,1000,1500,1609,1000,0.0,196.5,1660,false,,,off,1500,false,true,1469,138.7,149.7,154304,38.846516,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.90,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1537,10,1856487826,0.1,123,,,,,false,,
2026-06-27T12:32:16.998Z,0.5.1,false,0.00,15.39,false,false,false,false,false,none,1000,1531,1000,1500,1609,1000,0.0,196.5,1660,false,,,off,1500,false,true,1469,138.7,149.7,154284,38.846512,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.99,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,9,true,1537,10,1856487826,0.0,124,,,,,false,,
2026-06-27T12:32:18.032Z,0.5.1,false,0.00,15.37,false,false,false,false,false,none,1000,1531,1000,1500,1609,1000,0.0,196.5,1660,false,,,off,1500,false,true,1469,138.7,149.7,154320,38.846512,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.95,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1537,10,1856487826,0.1,125,,,,,false,,
2026-06-27T12:32:18.949Z,0.5.1,false,0.00,15.39,false,false,false,false,false,none,1000,1531,1000,1500,1609,1000,0.0,196.5,1660,false,,,off,1500,false,true,1469,138.2,149.2,154308,38.846512,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.95,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1537,10,1856487826,0.2,126,,,,,false,,
2026-06-27T12:32:20.026Z,0.5.1,false,0.00,15.39,false,false,false,false,false,none,1000,1531,1000,1500,1609,1000,0.0,196.5,1660,false,,,off,1500,false,true,1469,138.1,149.1,154320,38.846516,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.22,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1537,10,1856487826,0.4,127,,,,,false,,
2026-06-27T12:32:20.991Z,0.5.1,false,0.00,15.39,false,false,false,false,false,none,1000,1531,1000,1500,1609,1000,0.0,196.5,1660,false,,,off,1500,false,true,1469,137.7,148.7,154308,38.846516,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.76,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1537,10,1856487826,0.2,128,,,,,false,,
2026-06-27T12:32:22.141Z,0.5.1,false,0.00,15.38,false,false,false,false,false,none,1000,1531,1000,1500,1609,1000,0.0,196.5,1660,false,,,off,1500,false,true,1469,137.4,148.4,153224,38.846512,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.73,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1537,10,1856487826,0.4,129,,,,,false,,
2026-06-27T12:32:23.058Z,0.5.1,false,0.00,15.39,false,false,false,false,false,none,1000,1531,1000,1500,1609,1000,0.0,196.5,1660,false,893,0.86,run,1500,false,true,1469,137.2,148.2,154316,38.846512,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.90,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1537,10,1856487826,0.4,130,,,,,false,,
