ts,v,approach_lock,audio_ok,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_age_ms,depth_mode,depth_raw_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mission_active,mode,nav_on,pid_kd,pid_kp,port_us,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,stbd_us,uptime,wp_bearing,wp_count,wp_dist_m,wp_idx,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-07-03T12:18:34.422Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1495,1000,1501,1502,1495,5.3,0.0,1720,false,,off,,false,true,1500,219.2,224.8,134652,38.846539,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.82,true,MANUAL,false,8.00,1.50,1631,false,false,off,false,3,false,200,25,2,true,1500,11,2098578137,0.2,1631,97,189.6,5,31.8,0,38.846256,-77.162071,true,,
2026-07-03T12:18:35.406Z,0.7.5,false,false,15.12,false,false,false,false,false,none,1000,1495,1000,1500,1502,1495,5.3,0.0,1720,false,,off,,false,true,1500,218.2,223.9,134644,38.846539,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.50,true,MANUAL,false,8.00,1.50,1631,false,false,off,false,3,false,200,25,1,true,1500,11,2098578137,0.3,1631,98,189.6,5,31.8,0,38.846256,-77.162071,true,,
2026-07-03T12:18:36.422Z,0.7.5,false,false,15.10,false,false,false,false,false,none,1000,1495,1000,1500,1502,1495,5.3,0.0,1720,false,,off,,false,true,1500,218.0,223.7,134636,38.846539,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.79,true,MANUAL,false,8.00,1.50,1631,false,false,off,false,3,false,200,25,7,true,1500,12,2098578137,0.4,1631,99,189.6,5,31.8,0,38.846256,-77.162071,true,,
2026-07-03T12:18:37.406Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1495,1000,1500,1502,1495,5.3,0.0,1720,false,,off,,false,true,1500,217.0,222.7,134636,38.846539,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.73,true,MANUAL,false,8.00,1.50,1631,false,false,off,false,3,false,200,25,3,true,1500,11,2098578137,0.4,1631,100,189.6,5,31.8,0,38.846256,-77.162071,true,,
2026-07-03T12:18:38.423Z,0.7.5,false,false,15.07,false,false,false,false,false,none,1000,1495,1000,1500,1502,1618,5.3,0.0,1720,false,,off,,false,true,1500,215.5,221.2,134452,38.846535,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.39,true,MANUAL,false,8.00,1.50,1672,false,false,off,false,3,false,200,25,5,true,1500,12,2098578137,0.4,1672,101,189.9,5,31.4,0,38.846256,-77.162071,true,,
2026-07-03T12:18:39.406Z,0.7.5,false,false,15.06,false,false,false,false,false,none,1000,1495,1000,1500,1560,1545,5.3,174.6,1720,false,,off,,false,true,1500,214.8,220.5,134648,38.846531,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.93,true,MANUAL,false,8.00,1.50,1649,false,false,off,false,3,false,200,25,1,true,1520,11,2098578137,0.9,1647,102,189.9,5,31.0,0,38.846256,-77.162071,true,,
2026-07-03T12:18:40.423Z,0.7.5,false,false,15.09,false,false,false,false,false,none,1000,1495,1000,1500,1502,1546,5.3,195.9,1720,false,,off,,false,true,1500,211.8,217.5,134652,38.846527,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.43,true,MANUAL,false,8.00,1.50,1648,false,false,off,false,3,false,200,25,1,true,1500,11,2098578137,1.1,1648,103,188.8,5,30.5,0,38.846256,-77.162071,true,,
2026-07-03T12:18:41.407Z,0.7.5,false,false,15.03,false,false,false,false,false,none,1000,1495,1000,1500,1502,1546,4.5,194.5,1720,false,,off,,false,true,1500,210.4,216.9,134648,38.846516,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.38,true,MANUAL,false,8.00,1.50,1648,false,false,off,false,3,false,200,25,2,true,1500,11,2098578137,1.5,1648,104,189.3,5,29.2,0,38.846256,-77.162071,true,,
2026-07-03T12:18:42.407Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1495,1000,1500,1502,1546,3.7,200.9,1720,false,,off,,false,true,1500,210.3,217.5,134636,38.846512,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.96,true,MANUAL,false,8.00,1.50,1648,false,false,off,false,3,false,200,25,1,true,1500,11,2098578137,1.6,1648,105,189.3,5,28.8,0,38.846256,-77.162071,true,,
2026-07-03T12:18:43.424Z,0.7.5,false,false,15.06,false,false,false,false,false,none,1000,1495,1000,1500,1502,1546,3.2,204.5,1720,false,,off,,false,true,1500,211.1,218.8,134652,38.846508,-77.162025,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.77,true,MANUAL,false,8.00,1.50,1648,false,false,off,false,3,false,200,25,3,true,1500,11,2098578137,1.7,1648,106,188.0,5,28.3,0,38.846256,-77.162071,true,,
2026-07-03T12:18:44.441Z,0.7.5,false,false,15.08,false,false,false,false,false,none,1000,1495,1000,1500,1655,1546,2.9,204.6,1720,false,,off,,false,true,1500,209.3,217.4,134652,38.846500,-77.162025,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.63,true,MANUAL,false,8.00,1.50,1652,false,false,off,false,3,false,200,25,4,true,1552,11,2098578137,1.7,1644,107,188.5,5,27.4,0,38.846256,-77.162071,true,,
2026-07-03T12:18:45.407Z,0.7.5,false,false,15.07,false,false,false,false,false,none,1000,1495,1000,1500,1502,1545,2.7,205.6,1720,false,,off,,false,true,1500,206.2,214.5,134628,38.846500,-77.162033,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.94,true,MANUAL,false,8.00,1.50,1648,false,false,off,false,3,false,200,25,2,true,1500,12,2098578137,1.6,1648,108,187.1,5,27.3,0,38.846256,-77.162071,true,,
2026-07-03T12:18:46.407Z,0.7.5,false,false,15.09,false,false,false,false,false,none,1000,1495,1000,1500,1502,1546,2.7,206.7,1720,false,,off,,false,true,1500,205.8,214.2,134640,38.846493,-77.162041,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.57,true,MANUAL,false,8.00,1.50,1648,false,false,off,false,3,false,200,25,7,true,1500,12,2098578137,1.7,1648,109,185.8,5,26.4,0,38.846256,-77.162071,true,,
2026-07-03T12:18:47.407Z,0.7.5,false,false,15.09,false,false,false,false,false,none,1000,1495,1000,1500,1502,1546,2.7,208.1,1720,false,,off,,false,true,1500,206.7,215.0,134632,38.846489,-77.162041,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.99,true,MANUAL,false,8.00,1.50,1648,false,false,off,false,3,false,200,25,6,true,1500,11,2098578137,1.6,1648,110,185.9,5,26.0,0,38.846256,-77.162071,true,,
2026-07-03T12:18:48.424Z,0.7.5,false,false,15.03,false,false,false,false,false,none,1000,1495,1000,1500,1502,1546,2.8,209.2,1720,false,,off,,false,true,1500,208.7,216.9,134644,38.846481,-77.162048,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.23,true,MANUAL,false,8.00,1.50,1648,false,false,off,false,3,false,200,25,8,true,1500,11,2098578137,1.7,1648,111,184.6,5,25.1,0,38.846256,-77.162071,true,,
