ts,v,approach_lock,audio_ok,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,diff_gain,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mission_active,mode,nav_on,pid_kd,pid_kp,port_us,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,stbd_us,uptime,wp_bearing,wp_count,wp_dist_m,wp_idx,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-07-04T10:43:26.948Z,0.8.0,false,false,15.00,false,false,false,false,false,none,1000,1680,1000,1500,1763,1547,2.0,238.7,1660,false,off,1.00,false,true,1320,198.9,208.0,133176,38.847168,-77.149010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.39,true,MANUAL,false,2.00,1.50,1656,false,false,off,false,3,false,200,25,4,true,1589,11,2989740152,0.2,1642,140,266.8,5,74.1,0,38.847130,-77.149864,true,,
2026-07-04T10:43:28.015Z,0.8.0,false,false,15.01,false,false,false,false,false,none,1000,1680,1000,1500,1693,1547,2.0,238.7,1660,false,off,1.00,false,true,1320,194.9,203.9,133180,38.847164,-77.149010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.64,true,MANUAL,false,2.00,1.50,1654,false,false,off,false,3,false,200,25,2,true,1565,11,2989740152,0.6,1644,141,267.1,5,74.1,0,38.847130,-77.149864,true,,
2026-07-04T10:43:29.082Z,0.8.0,false,false,15.05,false,false,false,false,false,none,1000,1680,1000,1500,1675,1547,2.0,238.7,1660,false,off,1.00,false,true,1320,199.5,208.5,133196,38.847160,-77.149010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.18,true,MANUAL,false,2.00,1.50,1654,false,false,off,false,3,false,200,25,7,true,1559,11,2989740152,1.0,1644,143,267.4,5,74.1,0,38.847130,-77.149864,true,,
2026-07-04T10:43:30.149Z,0.8.0,false,false,15.00,false,false,false,false,false,none,1000,1680,1000,1500,1710,1547,3.8,231.7,1660,false,off,1.00,false,true,1320,209.9,217.1,133176,38.847149,-77.149017,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.75,true,MANUAL,false,2.00,1.50,1655,false,false,off,false,3,false,200,25,2,true,1571,11,2989740152,1.4,1643,144,268.5,5,73.4,0,38.847130,-77.149864,true,,
2026-07-04T10:43:31.232Z,0.8.0,false,false,14.99,false,false,false,false,false,none,1000,1680,1000,1500,1710,1547,4.8,231.1,1660,false,off,1.00,false,true,1320,221.5,227.7,133172,38.847145,-77.149017,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,18.87,true,MANUAL,false,2.00,1.50,1655,false,false,off,false,3,false,200,25,1,true,1571,11,2989740152,1.4,1643,145,268.7,5,73.4,0,38.847130,-77.149864,true,,
2026-07-04T10:43:32.332Z,0.8.0,false,false,15.05,false,false,false,false,false,none,1000,1679,1000,1500,1509,1547,5.2,237.5,1660,false,off,1.00,false,true,1321,232.8,238.6,133168,38.847141,-77.149033,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.58,true,MANUAL,false,2.00,1.50,1649,false,false,off,false,3,false,200,25,5,true,1503,11,2989740152,1.5,1649,146,269.1,5,72.0,0,38.847130,-77.149864,true,,
2026-07-04T10:43:33.399Z,0.8.0,false,false,14.99,false,false,false,false,false,none,1000,1680,1000,1500,1306,1547,5.2,246.0,1660,false,off,1.00,false,true,1320,246.4,252.2,133172,38.847141,-77.149063,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,18.45,true,MANUAL,false,2.00,1.50,1644,false,false,off,false,3,false,200,25,6,true,1434,11,2989740152,1.5,1654,147,269.1,5,69.4,0,38.847130,-77.149864,true,,
2026-07-04T10:43:34.466Z,0.8.0,false,false,15.02,false,false,false,false,false,none,1000,1680,1000,1500,1759,1547,5.2,253.8,1660,false,off,1.00,false,true,1320,254.0,259.8,133168,38.847141,-77.149071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.46,true,MANUAL,false,2.00,1.50,1656,false,false,off,false,3,false,200,25,3,true,1588,11,2989740152,1.6,1642,148,269.1,5,68.7,0,38.847130,-77.149864,true,,
2026-07-04T10:43:35.533Z,0.8.0,false,false,15.02,false,false,false,false,false,none,1000,1680,1000,1500,1726,1547,5.2,248.5,1660,false,off,1.00,false,true,1320,248.1,253.9,133172,38.847137,-77.149078,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,17.75,true,MANUAL,false,2.00,1.50,1655,false,false,off,false,3,false,200,25,5,true,1576,11,2989740152,1.7,1643,149,269.2,5,68.1,0,38.847130,-77.149864,true,,
2026-07-04T10:43:36.600Z,0.8.0,false,false,15.00,false,false,false,false,false,none,1000,1680,1000,1500,1510,1547,5.2,254.4,1660,false,off,1.00,false,true,1320,257.4,263.2,133196,38.847137,-77.149086,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,18.77,true,MANUAL,false,2.00,1.50,1649,false,false,off,false,3,false,200,25,6,true,1503,11,2989740152,1.6,1649,150,269.2,5,67.4,0,38.847130,-77.149864,true,,
2026-07-04T10:43:37.683Z,0.8.0,false,false,15.10,false,false,false,false,false,none,1000,1679,1000,1500,1510,1000,5.2,260.9,1660,false,off,1.00,false,true,1321,268.3,274.2,133184,38.847137,-77.149094,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.14,true,MANUAL,false,2.00,1.50,1500,false,false,off,false,3,false,200,25,1,true,1503,11,2989740152,1.6,1500,151,269.2,5,66.7,0,38.847130,-77.149864,true,,
