ts,v,approach_lock,audio_ok,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_age_ms,depth_mode,depth_raw_us,diff_gain,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mission_active,mode,nav_on,pid_kd,pid_kp,port_us,pump,pump_cycle,pump_manual,pump_phase,pump_phase_ms,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,stbd_us,uptime,wp_bearing,wp_count,wp_dist_m,wp_idx,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-07-11T10:23:17.112Z,0.8.2,false,false,15.46,false,false,false,false,false,none,1000,1636,1000,1500,2000,1384,-3.9,0.0,1720,false,11512,off,1197,1.00,false,true,1364,178.1,193.0,136764,38.863705,-77.040993,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.52,false,MANUAL,false,2.00,1.50,1603,false,,false,off,,false,3,false,200,25,5,true,1670,11,3249034181,0.1,1585,85,,0,,0,,,false,,
2026-07-11T10:23:18.195Z,0.8.2,false,false,15.37,false,false,false,false,false,none,1000,1636,1000,1499,2000,1528,-3.9,0.0,1720,false,12601,off,1197,1.00,false,true,1364,178.4,193.2,136756,38.863705,-77.040993,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.02,false,MANUAL,false,2.00,1.50,1656,false,,false,off,,false,3,false,200,25,1,true,1670,11,3249034181,0.1,1628,87,,0,,0,,,false,,
2026-07-11T10:23:19.262Z,0.8.2,false,false,15.34,false,false,false,false,false,none,1000,1636,1000,1501,1858,1526,-3.9,0.0,1720,false,13665,off,1197,1.00,false,true,1364,172.8,187.6,136756,38.863701,-77.040993,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,18.76,false,MANUAL,false,2.00,1.50,1652,false,,false,off,,false,3,false,200,25,3,true,1621,11,3249034181,0.6,1632,88,,0,,0,,,false,,
2026-07-11T10:23:20.345Z,0.8.2,false,false,15.34,false,false,false,false,false,none,1000,1636,1000,1501,1286,1526,-3.9,218.5,1720,false,14746,off,1197,1.00,false,true,1364,184.3,199.2,136760,38.863697,-77.040993,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.66,false,MANUAL,false,2.00,1.50,1636,false,,false,off,,false,3,false,200,25,5,true,1427,11,3249034181,0.9,1648,89,,0,,0,,,false,,
2026-07-11T10:23:21.412Z,0.8.2,false,false,15.31,false,false,false,false,false,none,1000,1636,1000,1500,1509,1526,-3.9,204.1,1720,false,15815,off,1197,1.00,false,true,1364,200.6,215.5,136760,38.863693,-77.040993,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.34,false,MANUAL,false,2.00,1.50,1642,false,,false,off,,false,3,false,200,25,4,true,1503,11,3249034181,1.5,1642,90,,0,,0,,,false,,
2026-07-11T10:23:22.479Z,0.8.2,false,false,15.46,false,false,false,false,false,none,1000,1636,1000,1497,1539,1000,-3.8,200.5,1720,false,16879,off,1197,1.00,false,true,1364,199.8,214.6,136760,38.863686,-77.040993,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.00,false,MANUAL,false,2.00,1.50,1500,false,,false,off,,false,3,false,200,25,5,true,1513,11,3249034181,1.6,1500,91,,0,,0,,,false,,
2026-07-11T10:23:23.546Z,0.8.2,false,false,15.45,false,false,false,false,false,none,1000,1636,1000,1500,1509,1000,-3.8,197.4,1720,false,17947,off,1197,1.00,false,true,1364,196.7,211.5,136748,38.863678,-77.041000,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.88,false,MANUAL,false,2.00,1.50,1500,false,,false,off,,false,3,false,200,25,3,true,1503,11,3249034181,1.4,1500,92,,0,,0,,,false,,
2026-07-11T10:23:24.613Z,0.8.2,false,false,15.46,false,false,false,false,false,none,1000,1636,1000,1500,1509,1000,-3.8,195.8,1720,false,19019,off,1197,1.00,false,true,1364,192.7,207.5,136752,38.863670,-77.041000,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.75,false,MANUAL,false,2.00,1.50,1500,false,,false,off,,false,3,false,200,25,5,true,1503,11,3249034181,1.2,1500,93,,0,,0,,,false,,
2026-07-11T10:23:25.679Z,0.8.2,false,false,15.46,false,false,false,false,false,none,1000,1636,1000,1500,1509,1000,-3.8,193.9,1720,false,20085,off,1197,1.00,false,true,1364,190.2,204.9,136764,38.863667,-77.041000,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.20,false,MANUAL,false,2.00,1.50,1500,false,,false,off,,false,3,false,200,25,1,true,1503,11,3249034181,1.1,1500,94,,0,,0,,,false,,
2026-07-11T10:23:26.763Z,0.8.2,false,false,15.46,false,false,false,false,false,none,1000,1636,1000,1500,1509,1000,-3.8,191.4,1720,false,21157,off,1197,1.00,false,true,1364,189.4,204.2,136760,38.863663,-77.041000,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.70,false,MANUAL,false,2.00,1.50,1500,false,,false,off,,false,3,false,200,25,2,true,1503,11,3249034181,1.1,1500,95,,0,,0,,,false,,
